BOUND,DT,VMIN,VMAX,MARGIN,START,GOAL,OBSTACLES,OPTIMIZE,STATUS,TOTAL STEPS,LENGTH,BUILD TIME (ms),SOLVE TIME (ms),TOTAL TIME (ms),DATA POINTS
93,1,-1,1,1.5,"(0,0,10,10)","(90,90,100,100)","[(20.0, 20.0, 30.0, 30.0),(40.0, 20.0, 50.0, 30.0),(20.0, 40.0, 30.0, 50.0),(20.0, 70.0, 30.0, 80.0),(40.0, 60.0, 50.0, 70.0),(50.0, 40.0, 60.0, 50.0),(70.0, 30.0, 80.0, 40.0),(70.0, 10.0, 80.0, 20.0),]",TRUE,,,,,,,
541.574,1.509,-3.528,3.528,2.077,"(0.0,0.0,66.614,66.614)","(474.96,474.96,541.574,541.574)","[(393.238,221.288,445.008,273.058),(131.007,243.71,166.016,278.719),(67.515,93.393,115.925,141.803),(484.349,319.576,514.356,349.583),(117.541,177.124,154.811,214.394),(233.356,279.927,286.376,332.947),(16.184,470.586,49.309,503.711),(51.95,241.114,84.243,273.407),(324.015,276.417,353.931,306.333),(70.573,260.699,122.726,312.852),(102.805,328.488,143.881,369.564),(287.605,197.808,327.351,237.554),(365.1,287.968,400.122,322.99)]",FALSE,,,,,,,
348.031,1.142,-2.425,2.425,1.854,"(0.0,0.0,51.509,51.509)","(296.522,296.522,348.031,348.031)","[(104.837,200.978,132.502,228.643),(61.173,279.022,81.393,299.242),(266.608,105.617,284.371,123.38),(62.196,9.346,87.804,34.954),(240.13,127.457,261.962,149.289),(128.057,220.385,156.407,248.735),(281.701,67.479,305.471,91.249),(6.285,271.567,30.924,296.206)]",TRUE,,,,,,,
344.42,1.135,-2.405,2.405,1.744,"(0.0,0.0,40.986,40.986)","(303.434,303.434,344.42,344.42)","[(210.516,114.263,242.493,146.24),(36.21,306.116,66.704,336.61),(176.158,70.779,206.751,101.372),(71.228,140.636,99.69,169.098),(102.686,273.137,120.748,291.199),(258.105,45.522,291.197,78.614),(79.776,15.865,106.494,42.583),(308.62,223.869,338.553,253.802),(297.444,81.732,330.544,114.832),(47.343,69.695,69.539,91.891),(82.328,172.792,103.545,194.009),(86.862,249.253,110.067,272.458)]",FALSE,,,,,,,
721.717,1.851,-4.554,4.554,2.479,"(0.0,0.0,93.823,93.823)","(627.894,627.894,721.717,721.717)","[(150.444,115.085,204.941,169.582),(4.147,204.585,50.935,251.373),(392.972,14.62,444.989,66.637),(101.827,654.238,166.486,718.897),(532.679,102.154,601.184,170.659),(444.405,334.749,482.573,372.917),(499.337,317.036,566.701,384.4),(467.529,487.835,538.685,558.991),(157.737,454.834,200.261,497.358),(517.595,125.108,576.039,183.552),(228.527,418.236,266.497,456.206),(176.5,118.008,239.215,180.723),(359.69,654.333,423.128,717.771)]",TRUE,,,,,,,
55.534,0.586,-0.759,0.759,1.317,"(0.0,0.0,7.553,7.553)","(47.981,47.981,55.534,55.534)","[(13.948,40.339,16.848,43.239),(12.12,38.897,16.292,43.069),(2.274,9.11,6.552,13.388),(15.249,30.567,20.407,35.725),(41.494,37.826,46.412,42.744),(7.57,37.82,12.452,42.702),(42.64,50.666,46.364,54.39),(21.284,19.106,25.415,23.237),(45.683,42.375,48.799,45.491),(45.492,20.673,50.227,25.408),(4.058,24.928,9.247,30.117),(28.229,33.805,33.581,39.157),(17.672,4.622,23.064,10.014)]",FALSE,,,,,,,
442.11,1.32,-2.961,2.961,2.048,"(0.0,0.0,26.084,26.084)","(416.026,416.026,442.11,442.11)","[(4.385,149.073,41.429,186.117),(269.836,111.423,313.131,154.718),(244.992,157.141,281.849,193.998),(216.617,239.23,242.002,264.615),(223.75,107.515,247.404,131.169),(348.441,49.84,382.037,83.436),(230.76,310.423,253.191,332.854),(361.355,35.228,395.481,69.354),(319.314,118.204,345.269,144.159),(0.791,74.649,38.61,112.468),(347.614,189.243,378.519,220.148)]",TRUE,,,,,,,
657.804,1.73,-4.19,4.19,2.468,"(0.0,0.0,61.834,61.834)","(595.97,595.97,657.804,657.804)","[(589.332,317.948,630.32,358.936),(55.934,199.809,99.223,243.098),(29.278,303.626,93.914,368.262),(602.887,297.665,639.551,334.329),(330.383,214.37,392.282,276.269),(347.45,130.408,406.954,189.912),(142.325,463.953,189.493,511.121),(136.312,108.2,172.793,144.681),(313.524,256.932,371.267,314.675)]",FALSE,,,,,,,
765.765,1.935,-4.805,4.805,2.525,"(0.0,0.0,98.018,98.018)","(667.747,667.747,765.765,765.765)","[(57.587,171.798,120.892,235.103),(462.619,31.436,504.593,73.41),(634.997,458.789,678.179,501.971),(19.593,310.795,76.91,368.112),(694.413,21.034,763.763,90.384),(20.56,65.849,63.134,108.423),(159.411,188.351,234.013,262.953),(620.009,693.594,679.092,752.677)]",FALSE,,,,,,,
174.403,0.812,-1.436,1.436,1.518,"(0.0,0.0,10.29,10.29)","(164.113,164.113,174.403,174.403)","[(66.54,100.225,79.451,113.136),(5.756,121.525,15.539,131.308),(118.412,54.523,135.423,71.534),(89.514,140.389,99.061,149.936),(25.24,145.746,35.24,155.746),(94.576,127.978,106.354,139.756),(73.848,137.687,90.704,154.543),(23.27,67.287,39.795,83.812),(61.813,140.348,71.335,149.87),(41.196,73.159,55.413,87.376)]",FALSE,,,,,,,
624.799,1.667,-4.002,4.002,2.346,"(0.0,0.0,56.857,56.857)","(567.942,567.942,624.799,624.799)","[(544.327,351.378,606.485,413.536),(63.314,360.003,112.066,408.755),(340.004,364.296,397.847,422.139),(567.305,321.937,617.006,371.638),(242.132,349.872,287.69,395.43),(570.939,212.717,616.326,258.104),(75.336,46.319,112.088,83.071),(333.488,367.972,385.178,419.662),(364.353,84.447,417.037,137.131),(346.145,561.895,391.197,606.947),(172.627,3.746,225.893,57.012)]",TRUE,,,,,,,
783.48,1.969,-4.906,4.906,2.497,"(0.0,0.0,102.636,102.636)","(680.844,680.844,783.48,783.48)","[(630.419,595.699,679.654,644.934),(416.84,440.556,481.341,505.057),(613.167,548.169,653.62,588.622),(450.631,261.027,491.247,301.643),(35.841,37.841,91.901,93.901),(228.206,428.912,301.806,502.512),(39.999,326.648,110.376,397.025),(492.206,31.016,546.226,85.036),(644.024,377.272,709.138,442.386),(728.298,172.263,771.949,215.914),(432.083,458.66,483.413,509.99),(115.862,617.509,186.06,687.707),(546.923,159.549,620.549,233.175),(153.708,534.87,195.875,577.037),(78.055,81.449,131.36,134.754)]",FALSE,,,,,,,
420.586,1.28,-2.839,2.839,1.964,"(0.0,0.0,43.741,43.741)","(376.845,376.845,420.586,420.586)","[(212.026,85.157,239.618,112.749),(322.257,104.066,354.177,135.986),(203.842,231.708,243.181,271.047),(382.073,184.409,420.389,222.725),(358.813,78.859,394.139,114.185),(205.787,50.098,228.563,72.874),(184.76,283.213,224.565,323.018),(370.532,327.864,399.156,356.488),(268.876,377.113,300.268,408.505),(120.304,339.296,155.976,374.968)]",FALSE,,,,,,,
97.372,0.666,-0.998,0.998,1.221,"(0.0,0.0,6.232,6.232)","(91.14,91.14,97.372,97.372)","[(6.378,81.52,12.616,87.758),(63.559,64.851,73.234,74.526),(67.792,55.429,74.493,62.13),(71.161,61.577,78.171,68.587),(10.106,19.685,15.132,24.711),(31.812,84.46,37.285,89.933),(25.321,44.085,32.708,51.472),(55.501,2.239,62.538,9.276),(17.892,64.476,23.66,70.244),(54.671,38.262,60.094,43.685),(60.224,6.362,68.713,14.851),(38.304,57.211,45.929,64.836),(40.427,15.046,45.953,20.572),(21.653,0.397,29.163,7.907)]",FALSE,,,,,,,
68.733,0.612,-0.835,0.835,1.195,"(0.0,0.0,4.949,4.949)","(63.784,63.784,68.733,68.733)","[(28.733,25.712,32.512,29.491),(18.603,28.621,23.904,33.922),(61.98,18.743,65.621,22.384),(23.881,19.382,28.913,24.414),(23.914,34.554,29.219,39.859),(42.435,25.165,46.157,28.887),(31.643,64.206,35.506,68.069),(19.123,59.448,22.577,62.902),(45.138,28.933,49.008,32.803),(33.38,51.196,40.085,57.901),(39.883,60.741,45.021,65.879),(32.521,49.379,37.248,54.106),(22.397,44.618,25.998,48.219),(53.304,50.961,56.789,54.446)]",FALSE,,,,,,,
127.223,0.723,-1.168,1.168,1.35,"(0.0,0.0,10.814,10.814)","(116.409,116.409,127.223,127.223)","[(31.541,79.612,42.05,90.121),(106.808,35.342,115.745,44.279),(18.786,84.136,30.12,95.47),(60.085,36.456,68.791,45.162),(118.587,1.858,126.152,9.423),(58.23,1.506,66.884,10.16),(49.818,11.375,56.816,18.373),(55.055,56.372,64.818,66.135),(102.958,57.582,109.414,64.038),(43.865,108.912,55.355,120.402),(109.718,9.503,121.43,21.215),(12.695,60.492,23.763,71.56),(1.711,42.734,9.482,50.505),(84.599,51.126,91.534,58.061),(32.973,98.137,41.351,106.515)]",TRUE,,,,,,,
